Region,Age,Year,Total
Africa,Adult,2003,105558.0
Africa,Adult,2004,169581.0
Africa,Adult,2005,320218.0
Africa,Adult,2006,333492.0
Africa,Adult,2007,343472.0
Africa,Adult,2008,610740.0
Africa,Adult,2009,586342.0
Africa,Adult,2010,798279.0
Africa,Adult,2011,796234.0
Africa,Adult,2012,696252.0
Africa,Adult,2013,855786.0
Africa,Adult,2014,764323.0
Africa,Adult,2015,718061.0
Africa,Adult,2016,503981.0
Africa,Adult,2017,487965.0
Africa,Adult,2018,311991.0
Africa,Adult,2019,319942.0
Africa,Adult,2020,346666.0
Africa,Adult,2021,300264.0
Africa,Juveniles,2003,1715.0
Africa,Juveniles,2004,6370.0
Africa,Juveniles,2005,11610.0
Africa,Juveniles,2006,11145.0
Africa,Juveniles,2007,15681.0
Africa,Juveniles,2008,25191.0
Africa,Juveniles,2009,19594.0
Africa,Juveniles,2010,11871.0
Africa,Juveniles,2011,11509.0
Africa,Juveniles,2012,11475.0
Africa,Juveniles,2013,13802.0
Africa,Juveniles,2014,13295.0
Africa,Juveniles,2015,10814.0
Africa,Juveniles,2016,5953.0
Africa,Juveniles,2017,7955.0
Africa,Juveniles,2018,5686.0
Africa,Juveniles,2019,7582.0
Africa,Juveniles,2020,6553.0
Africa,Juveniles,2021,6799.0
Africa,Juveniles,2022,500.0
Africa,Total,1013,40260.0
Africa,Total,1998,2320.0
Africa,Total,1999,41720.0
Africa,Total,2000,296092.0
Africa,Total,2001,116393.0
Africa,Total,2002,30594.0
Africa,Total,2003,606521.4
Africa,Total,2004,968179.0
Africa,Total,2005,1458205.6
Africa,Total,2006,892718.0
Africa,Total,2007,900380.8
Africa,Total,2008,1749573.8
Africa,Total,2009,1358608.0
Africa,Total,2010,2200470.6
Africa,Total,2011,1865791.0
Africa,Total,2012,1893890.4
Africa,Total,2013,2784139.0
Africa,Total,2014,3152287.092
Africa,Total,2015,3195219.0
Africa,Total,2016,2639832.0
Africa,Total,2017,2835965.0
Africa,Total,2018,1787651.0
Africa,Total,2019,1791530.0
Africa,Total,2020,1706666.0
Africa,Total,2021,2521975.0
Africa,Total,2022,1050348.0
Americas,Adult,2003,4742564.0
Americas,Adult,2004,7018808.0
Americas,Adult,2005,7620978.0
Americas,Adult,2006,8879767.0
Americas,Adult,2007,8904401.0
Americas,Adult,2008,9183917.0
Americas,Adult,2009,9443870.0
Americas,Adult,2010,9576217.0
Americas,Adult,2011,9736047.0
Americas,Adult,2012,9935073.0
Americas,Adult,2013,9874207.0
Americas,Adult,2014,9432758.0
Americas,Adult,2015,9770124.0
Americas,Adult,2016,9863682.0
Americas,Adult,2017,9969874.0
Americas,Adult,2018,10152567.6
Americas,Adult,2019,10151126.1
Americas,Adult,2020,5480301.1
Americas,Adult,2021,5485788.0
Americas,Juveniles,2003,5694.0
Americas,Juveniles,2004,19134.0
Americas,Juveniles,2005,21418.0
Americas,Juveniles,2006,18455.0
Americas,Juveniles,2007,21647.0
Americas,Juveniles,2008,22901.0
Americas,Juveniles,2009,105219.0
Americas,Juveniles,2010,103795.0
Americas,Juveniles,2011,103806.0
Americas,Juveniles,2012,109345.0
Americas,Juveniles,2013,104566.0
Americas,Juveniles,2014,50117.0
Americas,Juveniles,2015,36439.0
Americas,Juveniles,2016,46431.0
Americas,Juveniles,2017,43917.0
Americas,Juveniles,2018,43438.4
Americas,Juveniles,2019,43613.8
Americas,Juveniles,2020,35720.9
Americas,Juveniles,2021,33100.0
Americas,Juveniles,2022,540.0
Americas,Total,1999,42646.0
Americas,Total,2000,1130437.0
Americas,Total,2001,61928.0
Americas,Total,2002,65544.0
Americas,Total,2003,6702801.6182
Americas,Total,2004,10717254.8982
Americas,Total,2005,11803859.24
Americas,Total,2006,14774740.2618
Americas,Total,2007,14908943.36
Americas,Total,2008,15807649.84
Americas,Total,2009,16417117.0
Americas,Total,2010,17203332.0
Americas,Total,2011,17385119.0
Americas,Total,2012,30765220.92
Americas,Total,2013,31517227.0
Americas,Total,2014,41877973.6
Americas,Total,2015,41260857.99
Americas,Total,2016,42791510.55
Americas,Total,2017,43505263.0
Americas,Total,2018,44606290.9
Americas,Total,2019,42913567.5
Americas,Total,2020,31982062.3
Americas,Total,2021,29119175.0
Americas,Total,2022,1610226.0
Asia,Adult,2003,592266.0
Asia,Adult,2004,1682270.0
Asia,Adult,2005,2593176.0
Asia,Adult,2006,2685904.0
Asia,Adult,2007,2018607.0
Asia,Adult,2008,2321994.0
Asia,Adult,2009,2536148.0
Asia,Adult,2010,4106747.0
Asia,Adult,2011,4152471.0
Asia,Adult,2012,6325216.0
Asia,Adult,2013,4754752.0
Asia,Adult,2014,5790422.0
Asia,Adult,2015,5676992.0
Asia,Adult,2016,5401197.0
Asia,Adult,2017,1903128.0
Asia,Adult,2018,2879616.0
Asia,Adult,2019,2815385.0
Asia,Adult,2020,2520585.0
Asia,Adult,2021,1365082.0
Asia,Juveniles,2000,0.0
Asia,Juveniles,2002,760.0
Asia,Juveniles,2003,19708.0
Asia,Juveniles,2004,22721.0
Asia,Juveniles,2005,23508.0
Asia,Juveniles,2006,23121.0
Asia,Juveniles,2007,18240.0
Asia,Juveniles,2008,36631.0
Asia,Juveniles,2009,39679.0
Asia,Juveniles,2010,62650.0
Asia,Juveniles,2011,60922.0
Asia,Juveniles,2012,84078.0
Asia,Juveniles,2013,67181.0
Asia,Juveniles,2014,61475.0
Asia,Juveniles,2015,53955.0
Asia,Juveniles,2016,26646.0
Asia,Juveniles,2017,25776.0
Asia,Juveniles,2018,26508.0
Asia,Juveniles,2019,69772.0
Asia,Juveniles,2020,61398.0
Asia,Juveniles,2021,18686.0
Asia,Juveniles,2022,170.0
Asia,Total,1999,219898.0
Asia,Total,2000,783271.0
Asia,Total,2001,89336.0
Asia,Total,2002,8524.0
